Livestock_type,CN_ratio,N_frac,Lignin_frac
dairy-cattle,16,0.029,0.13
beef-cattle,19,0.023,0.09
poultry,10,0.051,0.05
swine,11,0.041,0.05
horses,20,0.013,0.13
sheep,11,0.033,0.13
