scenario,c_stocks_20year,c_seq_combd,c_seq_cum,int_fac
mm01_mm05_NA_NA,60.913657384236245,0.22420446459153426,0.20182796424438756,1.1108691772764039
mm01_mm06_NA_NA,58.15959922721262,0.08650155674035283,0.08182577450911062,1.057143146634336
mm01_mm07_NA_NA,59.04199615568548,0.13062140316399606,0.12093235720871043,1.0801195492994804
mm01_mm08_NA_NA,58.30295414326207,0.0936693025428255,0.09080891085115787,1.0314990199183867
mm02_mm05_NA_NA,68.19490094778928,0.5882666427691859,0.47909871895227885,1.2278610221618667
mm02_mm06_NA_NA,64.03304679197214,0.38017393497832896,0.35909652921700186,1.0586956543614767
mm02_mm07_NA_NA,65.3582989132077,0.4464365410401072,0.3982031119166017,1.1211277051335735
mm02_mm08_NA_NA,64.2487735563179,0.390960273195617,0.36807966555904914,1.0621621072215879
mm03_mm05_NA_NA,59.855080676799936,0.17127562921971878,0.16246838361916432,1.054208981491434
mm03_mm06_NA_NA,57.32651887758487,0.04484753925896534,0.04246619388388737,1.0560762610746122
mm03_mm07_NA_NA,58.144248979561226,0.08573404435778328,0.08157277658348719,1.0510129475614596
mm03_mm08_NA_NA,57.46665215403952,0.0518542030816981,0.05144933022593463,1.0078693513401538
mm04_mm05_NA_NA,62.45943322042302,0.3014932564008731,0.26116929551045126,1.1543977855881156
mm04_mm06_NA_NA,59.42384777883352,0.14971398432139793,0.1411671057751743,1.060544405860637
mm04_mm07_NA_NA,60.40535825826284,0.19878950829286382,0.18027368847477412,1.1027094967365725
mm04_mm08_NA_NA,59.59322231671714,0.15818271121557892,0.15015024211722156,1.0534962114285933
mm05_mm06_NA_NA,60.02478621026465,0.17976090589295451,0.1740895500766598,1.0325772328884608
mm05_mm07_NA_NA,61.027336596146085,0.22988842518702626,0.21319613277625962,1.078295474657059
mm05_mm08_NA_NA,60.08833831524325,0.18293851114188442,0.18307268641870705,0.9992670928719768
mm06_mm08_NA_NA,57.69086418154346,0.06306480445689502,0.06307049668343012,0.9999097481891784
mm07_mm08_NA_NA,58.47878845181105,0.10246101797027443,0.10217707938302993,1.002778887290173
mm01_mm05_mm06_NA,61.67897755331623,0.2624704730455335,0.22887164441507898,1.1468020589283663
mm01_mm05_mm07_NA,62.815918356504966,0.31931751320497026,0.2679782271146788,1.1915800647054857
mm01_mm05_mm08_NA,61.688208465985014,0.26293201867897265,0.23785478075712624,1.1054308761086151
mm02_mm05_mm06_NA,69.35562193758204,0.6463026922588242,0.5061423991229703,1.2769186959612944
mm02_mm05_mm07_NA,71.06403138236874,0.731723164498159,0.5452489818225701,1.3419982226326643
mm02_mm05_mm08_NA,69.36719071522646,0.6468811311410448,0.5151255354650175,1.2557737611611275
mm03_mm05_mm06_NA,60.56389691018339,0.20671644088889138,0.18951206378985574,1.0907824903332437
mm03_mm05_mm07_NA,61.61577174332514,0.25931018254597904,0.22861864648945557,1.134247737565619
mm03_mm05_mm08_NA,60.580883590960994,0.20756577492777167,0.19849520013190303,1.045696695889075
mm04_mm05_mm06_NA,63.31600895929586,0.34432204334451483,0.2882129756811427,1.1946791865660034
mm04_mm05_mm07_NA,64.57807051670082,0.40742512121476293,0.3273195583807425,1.2447319776132673
mm04_mm05_mm08_NA,63.33669738769623,0.34535646476453363,0.29719611202318996,1.1620490672421238
mm01_mm06_mm08_NA,58.93763531499427,0.12540336112943534,0.1178525910218493,1.0640696147799258
mm01_mm07_mm08_NA,59.82711904853629,0.16987754780653647,0.15695917372144913,1.0823040398263895
mm02_mm06_mm08_NA,65.21171034499702,0.4391071126295728,0.39512334572974056,1.1113165480480534
mm02_mm07_mm08_NA,66.54997327643798,0.5060202592016211,0.4342299284293404,1.1653279197773276
mm03_mm06_mm08_NA,58.05541884279512,0.081292537519478,0.07849301039662607,1.035665941575
mm03_mm07_mm08_NA,58.879422584155705,0.12249272458750723,0.11759959309622588,1.0416084049481154
mm04_mm06_mm08_NA,60.30539337689933,0.19379126422468856,0.17719392228791297,1.0936676705525343
mm04_mm07_mm08_NA,61.29561900729898,0.24330254574467106,0.2163005049875128,1.1248357730774465
mm05_mm06_mm08_NA,60.742308718655806,0.2156370313125123,0.21011636658939847,1.0262743203336564
mm05_mm07_mm08_NA,61.750596789112734,0.2660514348353587,0.2492229492889983,1.0675238199145383
mm01_mm05_mm06_mm08,62.45354728402859,0.3011989595811514,0.26489846092781766,1.1370355211811716
mm02_mm05_mm06_mm08,70.52793166899244,0.7049181788293438,0.542169215635709,1.3001811215024575
mm03_mm05_mm06_mm08,61.28972333972099,0.24300776236577165,0.22553888030259445,1.0774539717486407
mm04_mm05_mm06_mm08,64.19329740167348,0.3881864654633958,0.3242397921938814,1.1972203128950845
mm01_mm05_mm07_mm08,63.59741898725727,0.35839254474258553,0.3040050436274175,1.1789032855054349
mm02_mm05_mm07_mm08,72.24908076199324,0.790975633479384,0.5812757983353087,1.360757897962767
mm03_mm05_mm07_mm08,62.34774955736961,0.2959090732482025,0.26464546300219427,1.1181339362154452
mm04_mm05_mm07_mm08,65.46391575605338,0.4517173831823911,0.3633463748934812,1.24321422861262
