Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1990","1990","kg","301711955.03999996","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1991","1991","kg","293247587.52","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1992","1992","kg","282036960","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1993","1993","kg","280460160","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1994","1994","kg","285505920","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1995","1995","kg","273627360","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1996","1996","kg","271945440","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1997","1997","kg","260487359.99999997","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1998","1998","kg","256387679.99999997","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","1999","1999","kg","256492799.99999997","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","2000","2000","kg","247452479.99999997","Fc","Calculated data"
